entity_head	relation	entity_tail
m.0fzmzmz	1	m.0fzmzmt
m.0fzmzmz	2	m.09glhfq
m.0fzmzmz	1	m.0dvzny7
m.0g6ft98	2	m.0272n22
m.0g6ft98	1	m.0g22h6f
m.0g6ft98	1	m.0g7lrs5
m.0g6ft98	1	m.0fxk4r7
m.0g6ft98	1	m.0322x44
m.0g6ft98	1	m.0g7k0hs
m.0g6ft98	2	m.014hz6
m.0g6ft98	2	m.0398wn
m.0g6ft98	2	m.0h25703
m.0g6ft98	1	m.03bkng7
m.0g6ft98	1	m.036xpcc
m.0g6ft98	1	m.0fx70dd
m.0jxx6wb	1	m.0jxx4g7
m.0jxx6wb	0	m.0kpv11
m.0jxx6wb	2	m.086rld
m.0l1v6n	1	m.0g12vn_
m.0l1v6n	3	m.0dds6b
m.0l1v6n	1	m.01hqwbm
m.0l1v6n	2	m.07m7k
m.0l1v6n	1	m.0fb6tnd
m.0l1v6n	0	m.0kpv11
m.0l1v6n	1	m.030lqfq
m.0l1v6n	1	m.0gbgxhh
m.0l1v6n	1	m.0fsv91x
m.0lc989	1	m.0f6rq1h
m.0lc989	1	m.03555yc
m.0lc989	0	m.0kpv11
m.0lc989	2	m.01k56yg
m.0lfg6k	1	m.0f4m54c
m.0lfg6k	1	m.0dpn5gq
m.0lfg6k	1	m.0f9v_jw
m.0lfg6k	1	m.0fkc3j_
m.0lfg6k	1	m.0fjrdd7
m.0lfg6k	0	m.09jd9nh
m.0lfg6k	2	m.0jg77
m.0lfg6k	1	m.037rfhp
m.0lj3bl	0	m.0kpv11
m.0lj3bl	1	m.0f9jnjv
m.0lj3bl	1	m.0333w0n
m.0lj3bl	2	m.0jn38
m.0ljxtk	2	m.0gcs9
m.0ljxtk	1	m.03_rhjj
m.0ljxtk	1	m.0fh4c84
m.0ljxtk	3	m.0g6kvm9
m.0ljxtk	1	m.032qxxn
m.0ljxtk	1	m.0g3528f
m.0ljxtk	4	m.0gcs9
m.0ljxtk	1	m.035cwc5
m.0ljxtk	1	m.01hmk47
m.0ljxtk	1	m.0fxq3fp
m.0ljxtk	1	m.0drq2xm
m.0ljxtk	3	m.0ft0q7z
m.0ljxtk	1	m.0g93ggn
m.0ljxtk	1	m.032rdtc
m.0ljxtk	0	m.0kpv11
m.0ljxtk	3	m.0nhc8k9
m.0ljxtk	4	m.01w7brv
m.0ljxtk	1	m.036r9_y
m.0ljxtk	1	m.0fc6l52
m.0ljxtk	1	m.0fy2f6q
m.0ljxtk	4	m.078rtl
m.0ljxtk	1	m.0fwm40g
m.0ljxtk	1	m.033d525
m.0lmvhz	1	m.0gd8z42
m.0lmvhz	1	m.0306rys
m.0lmvhz	1	m.0dqgsbk
m.0lmvhz	1	m.0f9jshx
m.0lmvhz	1	m.0fmjmjj
m.0lmvhz	4	m.02c5kx
m.0lmvhz	2	m.01vrncs
m.0lmvhz	1	m.0dx7_g4
m.0lmvhz	1	m.0fdxsvy
m.0lmvhz	1	m.0dp_w2k
m.0lmvhz	1	m.0ffk_1n
m.0lmvhz	1	m.0g25tl5
m.0lmvhz	0	m.0kpv11
m.0ln4kk	1	m.03755pm
m.0ln4kk	1	m.0f1pqlz
m.0ln4kk	1	m.033c89d
m.0ln4kk	2	m.016s3g
m.0ln4kk	1	m.0fw90fj
m.0ln4kk	1	m.0361v0q
m.0ln4kk	1	m.0352zfx
m.0ln4kk	1	m.03zk2qn
m.0ln4kk	0	m.0kpv11
m.0lnh32	1	m.0dwdzsh
m.0lnh32	1	m.0dqgs5d
m.0lnh32	1	m.0dq0gj2
m.0lnh32	1	m.0d_rh4r
m.0lnh32	1	m.03740gk
m.0lnh32	1	m.039__ps
m.0lnh32	1	m.0fmjl4s
m.0lnh32	1	m.0f8vsjj
m.0lnh32	1	m.0g6gb9t
m.0lnh32	1	m.03_wlqt
m.0lnh32	1	m.0392ycz
m.0lnh32	4	m.0frsw
m.0lnh32	1	m.0dqwxdj
m.0lnh32	1	m.01hmt2f
m.0lnh32	1	m.0fgvl2x
m.0lnh32	1	m.030hg4s
m.0lnh32	0	m.0kpv11
m.0lnh32	1	m.03j6tvj
m.0lnh32	1	m.0gbd2s3
m.0lnh32	1	m.036bmrs
m.0lnh32	4	m.01w9spx
m.0lnh32	1	m.0fl96dy
m.0lnh32	1	m.0f8v0fk
m.0lnh32	2	m.0frsw
m.0lnh32	1	m.03_wlyv
m.0lnh32	1	m.03903rn
m.0lpsky	2	m.0d945
m.0lpsky	4	m.0d945
m.0lpsky	1	m.032vv4f
m.0lpsky	0	m.0kpv11
m.0lpsky	4	m.01whyh0
m.0mdjbf	1	m.0355z4l
m.0mdjbf	3	m.01x1gjd
m.0mdjbf	0	m.0kpv11
m.0mdjbf	2	m.044j8t
m.0mdjbf	1	m.037vk4b
m.0mdjbf	1	m.0frm8mj
m.0mdjbf	1	m.0f6qxp8
m.0mdjbf	4	m.01x1gjd
m.0mdjbf	1	m.0313210
m.0mdjbf	1	m.0f7fyjs
m.0ngxl1l	0	m.0kpv11
m.0ngxl1l	2	m.05mt_q
m.0ngxl1l	2	m.05cknf
m.0njn9vq	1	m.0fvqxm7
m.0njn9vq	1	m.037_2dp
m.0njn9vq	1	m.0dnrvyy
m.0njn9vq	1	m.03056xn
m.0njn9vq	1	m.038sr54
m.0njn9vq	4	m.012vxj
m.0njn9vq	1	m.049lr5l
m.0njn9vq	2	m.012vxj
m.0njn9vq	1	m.0351n9z
m.0njn9vq	0	m.0kpv11
m.0njn9vq	1	m.039gp2h
m.0nl_yw4	4	m.0dymm5v
m.0nl_yw4	2	m.0dymm5v
m.0nl_yw4	0	m.0kpv11
m.0nls7cm	2	m.046p9
m.0nls7cm	0	m.0kpv11
m.0nmv56t	0	m.0kpv11
m.0nmv56t	2	m.06wb1_s
m.0nn19jq	0	m.0kpv11
m.0nn19jq	2	m.0416b7f
m.0nn5qz3	2	m.01s52kw
m.0nn5qz3	0	m.0kpv11
m.0nncz_y	2	m.05q7_hg
m.0nncz_y	0	m.0kpv11
m.0nnkskn	0	m.0kpv11
m.0nnkskn	2	m.049gc5g
m.0pjb82	0	m.0kpv11
m.0pjb82	3	m.01w_nhn
m.0pjb82	2	m.05k79
m.0pjb82	4	m.05k79
m.0pjb82	1	m.03xr4xd
m.0pjb82	3	m.01vtfsp
m.0pjb82	1	m.033t28z
m.0rfmg1t	0	m.0kpv11
m.0rfmg1t	2	m.09glhfq
m.0rfq8kh	0	m.0kpv11
m.0rfq8kh	2	m.02r232c
m.0rhtjb8	4	m.09ry6rq
m.0rhtjb8	2	m.080gct2
m.0rhtjb8	0	m.0kpv11
m.0rl0cyj	2	m.03chmw
m.0rl0cyj	0	m.09jd9nh
m.0s5wqk	2	m.0982h
m.0s5wqk	1	m.0g318n0
m.0s5wqk	1	m.0dtr9wp
m.0s5wqk	1	m.031t9kc
m.0s5wqk	0	m.0kpv11
m.0tw80g	1	m.0ffwvt_
m.0tw80g	1	m.0394yny
m.0tw80g	1	m.0f6rs07
m.0tw80g	0	m.0kpv11
m.0tw80g	2	m.02l840
m.0vy7_th	2	m.0gg5pnc
m.0vy7_th	0	m.0kpv11
m.0x2v32t	0	m.0kpv11
m.0x2v32t	4	m.0536v0l
m.0x2v32t	2	m.0dl567
m.0x2v32t	4	m.02zmh5
m.0x2v32t	3	m.01x1t60
m.0y6wb_	0	m.0kpv11
m.0y6wb_	2	m.057hfj
m.0y6wb_	1	m.0fllzbs
m.0ycr55l	4	m.0yt8n8d
m.0ycr55l	4	m.0sghzm9
m.0ycr55l	0	m.09jd9nh
m.0ycr55l	2	m.02l840
m.0ycr55l	4	m.02l840
m.0ycr55l	4	m.0fv57gt
m.0ycr55l	4	m.0gfgjtf
m.0ycr55l	4	m.0zr7kyw
m.0ycr55l	4	m.027z5fl
m.0ylksb	1	m.0fqfx4m
m.0ylksb	1	m.03fj2vf
m.0ylksb	1	m.01k9tk8
m.0ylksb	0	m.0kpv11
m.0ylksb	1	m.0g1q3z2
m.0ylksb	1	m.035msbn
m.0ylksb	2	m.01k9t__
m.0zxnwz	2	m.01vsl3_
m.0zxnwz	5	m.0g6r97k
m.0zxnwz	1	m.0f3v_4p
m.0zxnwz	4	m.01vsl3_
m.0zxnwz	2	m.01qqwp9
m.0zxnwz	4	m.01nz1q6
m.0zxnwz	2	m.0g6r97k
m.0zxnwz	1	m.0fvtt0p
m.0zxnwz	1	m.032fb0_
m.0zxnwz	1	m.0310tfz
m.0zxnwz	0	m.0kpv11
m.0zxnwz	1	m.0f3j546
m.0zxnwz	1	m.031_d9b
m.0zxnwz	1	m.0dp5gs1
m.0zxnwz	1	m.0fsv05h
m.0zxnwz	4	m.0gt_k
m.013pd2t	1	m.032rjy3
m.013pd2t	1	m.037r7pz
m.013pd2t	1	m.0325pct
m.013pd2t	1	m.03fhdx_
m.013pd2t	1	m.036l797
m.013pd2t	0	m.0kpv11
m.013pd2t	1	m.0g6608y
m.013pd2t	1	m.0dzlvpn
m.013pd2t	1	m.0fxjtl2
m.013pd2t	1	m.038zwsk
m.013pd2t	1	m.034kcnh
m.013pd2t	1	m.03zm0n1
m.013pd2t	1	m.03zym42
m.013pd2t	1	m.03zykkg
m.013pd2t	1	m.03zyg8t
m.013pd2t	2	m.025b26
m.013pd2t	1	m.037hqrg
m.013pd2t	1	m.0dnt9mf
m.013pd2t	1	m.01j4wb_
m.013pd2t	1	m.03_1vs7
m.013pd2t	1	m.0341czv
m.013pd2t	1	m.03766yr
m.013pd2t	1	m.037jlhy
m.013pd2t	1	m.039994h
m.013pd2t	1	m.0dr7twd
m.013pd2t	1	m.03b4qtj
m.013pd2t	1	m.01j4w9k
m.013pd2t	1	m.03zxy7q
m.013pd2t	1	m.0395q7q
m.013pd2t	1	m.039s_4y
m.013pd2t	1	m.035_sck
m.01cpr6z	2	m.02gn01
m.01cpr6z	0	m.0kpv11
m.01cpr6z	1	m.0340qqm
m.01cpr6z	1	m.037whp_
m.01ctp89	1	m.0dq0qfg
m.01ctp89	1	m.04cjm_9
m.01ctp89	0	m.0kpv11
m.01ctp89	1	m.033gxbg
m.01ctp89	2	m.044xhk
m.01ctp89	1	m.030j0l1
m.0_q7x6	2	m.01qdty_
m.0_q7x6	0	m.0kpv11
m.0_q7x6	1	m.037vkdx
m.0_q7x6	1	m.0ffwd3g
m.0_q7x6	1	m.0f59yqs
m.0dpm1wv	1	m.0fht69h
m.0dpm1wv	0	m.0kpv11
m.0dpm1wv	1	m.0dpm1vh
m.0dpm1wv	2	m.03d2h22
m.0dpm1wv	1	m.0f6cjmr
m.0dpm1wv	1	m.0fgj5tx
m.0drqcpl	2	m.0cfgd
m.0drqcpl	1	m.03fh9w8
m.0drqcpl	1	m.039g388
m.0drqcpl	1	m.0fv_n17
m.0drqcpl	0	m.0kpv11
m.0drqcpl	1	m.0fb6ddx
m.0drqcpl	1	m.0f84sg7
m.0drqcpl	1	m.031_8m1
m.0drqcpl	1	m.049knzj
m.0drqcpl	1	m.0fqg73h
m.0drqcpl	1	m.0drqcmx
m.0dvp24d	2	m.01rgdtv
m.0dvp24d	1	m.03y_3g_
m.0dvp24d	1	m.0f9j5pf
m.0dvp24d	0	m.0kpv11
m.0dvp24d	1	m.03xsr02
m.0dw_f_z	2	m.02q3w3v
m.0dw_f_z	1	m.03jbjd4
m.0dw_f_z	1	m.0fv2b14
m.0dw_f_z	1	m.03xt64_
m.0dw_f_z	0	m.0kpv11
m.0dw_f_z	1	m.049n041
m.0dw_f_z	1	m.03jbjc_
m.0dwfsm6	1	m.0fzhn66
m.0dwfsm6	1	m.0dwfsk8
m.0dwfsm6	0	m.0kpv11
m.0dwfsm6	2	m.0dl567
m.0dz6v1k	1	m.0fm6xz7
m.0dz6v1k	1	m.0flykmx
m.0dz6v1k	1	m.0fxr0ch
m.0dz6v1k	1	m.0fy9kkg
m.0dz6v1k	1	m.0dz_ldn
m.0dz6v1k	1	m.0ffw8x3
m.0dz6v1k	0	m.0kpv11
m.0dz6v1k	1	m.0f_fzyr
m.0dz6v1k	1	m.0f2094c
m.0dz6v1k	1	m.0fz7c2l
m.0dz6v1k	1	m.0fsng45
m.0dz6v1k	1	m.0dz6tx_
m.0dz6v1k	2	m.051wcm1
m.0f0w4gp	1	m.049mklh
m.0f0w4gp	1	m.0fz7pt0
m.0f0w4gp	0	m.0kpv11
m.0f0w4gp	2	m.0bfcgc
m.0f0w4gp	1	m.0f0w4ds
m.0f0w4gp	1	m.03fp8xq
m.0f0w4gp	4	m.089l5f
m.0fr297t	1	m.0fydpc8
m.0fr297t	1	m.01hvs2h
m.0fr297t	1	m.039n4zb
m.0fr297t	1	m.0fx7j83
m.0fr297t	1	m.01hvs3l
m.0fr297t	1	m.034xmyy
m.0fr297t	1	m.0320wkd
m.0fr297t	4	m.04mg5k
m.0fr297t	2	m.0133x7
m.0fr297t	1	m.0f_9m48
m.0fr297t	1	m.0f_s0j1
m.0fr297t	0	m.09jd9nh
m.0fr297t	1	m.0386cwb
m.0fr297t	1	m.0dwdy41
m.0fr297t	1	m.034jntn
m.0fr297t	1	m.0fr80br
m.0fr297t	1	m.037gk74
m.0fr297t	1	m.0f60_n4
m.0fr297t	1	m.0fcx1h8
m.0frcf18	0	m.0kpv11
m.0frcf18	1	m.0f_b4g6
m.0frcf18	2	m.02zd7f
m.0frcf18	1	m.0fzhqx0
m.0frcf18	1	m.0ftgg_k
m.0frygbl	0	m.0kpv11
m.0frygbl	1	m.0fryg9b
m.0frygbl	2	m.02z5jxw
m.0frygbl	1	m.0fyv3rz
m.0ft2pt_	1	m.0f_1d11
m.0ft2pt_	1	m.0g1vcyx
m.0ft2pt_	1	m.0fw8c8w
m.0ft2pt_	1	m.0fxwcwh
m.0ft2pt_	2	m.0jvy1
m.0ft2pt_	1	m.0g2bcfg
m.0ft2pt_	0	m.0kpv11
m.0ft2pt_	1	m.0g7hld1
m.0ftn28b	0	m.0kpv11
m.0ftn28b	2	m.06wcs2
m.0ftn28b	1	m.0fv4xrn
m.0ftn28b	1	m.0g22l_6
m.0ftn28b	1	m.0ftn27p
m.0l1b4n	1	m.0fthy80
m.0l1b4n	1	m.0g0tqtp
m.0l1b4n	1	m.0fs_dbt
m.0l1b4n	2	m.01wv9xn
m.0l1b4n	1	m.0fsfrwk
m.0l1b4n	1	m.0fxvsvs
m.0l1b4n	1	m.0dxnvn3
m.0l1b4n	1	m.0fyd6ph
m.0l1b4n	1	m.0g1ys3n
m.0l1b4n	1	m.0fzhtvz
m.0l1b4n	1	m.0fwbwjs
m.0l1b4n	1	m.0g0nxnr
m.0l1b4n	1	m.037x5cz
m.0l1b4n	1	m.0g0c4mj
m.0l1b4n	1	m.0fx4jy4
m.0l1b4n	1	m.031c8vy
m.0l1b4n	0	m.0kpv11
m.0l1b4n	1	m.0frgtmq
m.0l1b4n	1	m.0f_9gwt
m.0l1b4n	1	m.0g3mryl
m.0l1b4n	1	m.0f8tw_p
m.0l1b4n	1	m.0dy1ygl
m.0l1b4n	1	m.0g1q0h0
m.0l1b4n	1	m.0g2fkxh
m.0l1b4n	1	m.0fx_sjb
m.0l1b4n	1	m.03_tyg9
m.0l1b4n	1	m.0ff75b6
m.0l1b4n	1	m.0fykgj1
m.0l1b4n	1	m.0fckt98
m.0l1b4n	1	m.0f_qsrp
m.0l1b4n	1	m.0ftxrkg
m.0l1b4n	1	m.0f347qw
m.0l1b4n	1	m.0f_qyb1
m.0l1b4n	1	m.0381qqb
m.0l1b4n	1	m.0g3hfvv
m.0l1b4n	1	m.0g21rx4
m.0lgghz	1	m.03bj83l
m.0lgghz	1	m.0f3w2zp
m.0lgghz	1	m.039yhnb
m.0lgghz	1	m.01ht098
m.0lgghz	2	m.0l8g0
m.0lgghz	0	m.0kpv11
m.0lgghz	1	m.01ht072
m.0lggj5	0	m.0kpv11
m.0lggj5	1	m.039yhnb
m.0lggj5	1	m.03bj83l
m.0lggj5	1	m.0f3w2zp
m.0lggj5	1	m.01ht098
m.0lggj5	2	m.0l8g0
m.0lmjhq	2	m.0dtn7
m.0lmjhq	1	m.0fhgryd
m.0lmjhq	1	m.0f9htn5
m.0lmjhq	1	m.037gsc6
m.0lmjhq	1	m.0fdl2kd
m.0lmjhq	1	m.0g26h43
m.0lmjhq	1	m.03b7nmt
m.0lmjhq	1	m.0f9vn1x
m.0lmjhq	1	m.0fl02ky
m.0lmjhq	1	m.0fwqdbl
m.0lmjhq	1	m.0fg5kym
m.0lmjhq	1	m.038lqcx
m.0lmjhq	4	m.01whltc
m.0lmjhq	0	m.0kpv11
m.0lmjhq	1	m.0ffv_d4
m.0lmjhq	1	m.0fj3swt
m.0lmjhq	1	m.0g3rn4g
m.0lmjhq	1	m.0f_qd4v
m.0ln3wg	1	m.0366f3y
m.0ln3wg	1	m.0dzkyy2
m.0ln3wg	1	m.0frfslm
m.0ln3wg	0	m.0kpv11
m.0ln3wg	1	m.01kn5gx
m.0ln3wg	2	m.01dv9_
m.0ln3wg	1	m.01kn5hq
m.0ln3wg	1	m.0fvdv4y
m.0lqh6f	1	m.038vdfx
m.0lqh6f	1	m.034ry3p
m.0lqh6f	0	m.0kpv11
m.0lqh6f	1	m.01kdc86
m.0lqh6f	2	m.038rnn
m.0lqh6f	1	m.03253sg
m.0lv07x	2	m.01vvybv
m.0lv07x	1	m.0fkprbp
m.0lv07x	1	m.037jky_
m.0lv07x	1	m.0f9j603
m.0lv07x	1	m.0fng4rn
m.0lv07x	1	m.031wktw
m.0lv07x	1	m.0384lh9
m.0lv07x	1	m.032r3td
m.0lv07x	0	m.0kpv11
m.0lv07x	4	m.095x_
m.0lv07x	1	m.032yqz_
m.0lv07x	1	m.03zjdbr
m.0lv07x	1	m.03_79lj
m.0lv07x	3	m.095x_
m.0lv07x	1	m.0306vzk
m.0lv07x	1	m.037n_9t
m.0lv07x	1	m.0g34sfz
m.0lv07x	1	m.039thq2
m.0lv07x	1	m.0fyk5q_
m.0lv07x	1	m.01k7lm1
m.0lv07x	1	m.01k7ktf
m.0lv07x	1	m.0fhh031
m.0lv07x	1	m.03158mh
m.0lz3bc	0	m.0kpv11
m.0lz3bc	1	m.0f6d4ym
m.0lz3bc	1	m.024dxkl
m.0lz3bc	1	m.0343jr2
m.0lz3bc	1	m.01lhqxh
m.0lz3bc	1	m.03bmfw6
m.0lz3bc	2	m.015mql
m.0lz3bc	1	m.01lhqwj
m.0lz3bc	1	m.01lhqvk
m.0lz3bc	1	m.031hrlb
m.0lz3bc	1	m.03zkkgq
m.0lz3bc	1	m.03zvhkl
m.0lz3bc	1	m.033r9j9
m.0nl43q9	0	m.0kpv11
m.0nl43q9	2	m.0gvt1zv
m.0nldw3d	0	m.0kpv11
m.0nldw3d	2	m.06mj4
m.0nmst3b	0	m.0kpv11
m.0nmst3b	2	m.0frk69s
m.0nn1r_x	2	m.01jm1t
m.0nn1r_x	0	m.0kpv11
m.0nn3bj7	0	m.09jd9nh
m.0nn3bj7	2	m.01mpq7s
m.0qbhpm6	2	m.01wt7y9
m.0qbhpm6	0	m.0kpv11
m.0qcfh2x	2	m.0q94vj7
m.0qcfh2x	0	m.0kpv11
m.0qdb94t	2	m.04lff__
m.0qdb94t	0	m.0kpv11
m.0qhlr6	0	m.0kpv11
m.0qhlr6	1	m.0fkclhw
m.0qhlr6	3	m.03f0k7s
m.0qhlr6	1	m.0dzlcdq
m.0qhlr6	1	m.0dnsynp
m.0qhlr6	1	m.0f3ht7j
m.0qhlr6	1	m.0flxnhl
m.0qhlr6	3	m.02pw61
m.0qhlr6	1	m.0dncy41
m.0qhlr6	1	m.0fhgvrl
m.0qhlr6	1	m.03bgbpq
m.0qhlr6	1	m.039rlts
m.0qhlr6	4	m.02pw61
m.0qhlr6	1	m.03fg_6f
m.0qhlr6	1	m.0f9w9rl
m.0qhlr6	2	m.01467z
m.0qhlr6	1	m.0f4m5d1
m.0qhlr6	1	m.0fmtznn
m.0qhlr6	1	m.0g92ny3
m.0qhlr6	1	m.0dp5rxt
m.0qhlr6	1	m.0fb6gpj
m.0qhlr6	1	m.0fgvhb5
m.0rf2prx	0	m.0kpv11
m.0rf2prx	2	m.05jj6d
m.0rm5zr	1	m.034zsg3
m.0rm5zr	1	m.0fmj5yt
m.0rm5zr	1	m.0fwc9kt
m.0rm5zr	1	m.0fcl9p8
m.0rm5zr	1	m.039fhn4
m.0rm5zr	2	m.0y48b
m.0rm5zr	1	m.032p0j8
m.0rm5zr	1	m.0fht5w_
m.0rm5zr	0	m.09jd9nh
m.0rm5zr	1	m.0fl8wgx
m.0rm5zr	1	m.038mmrs
m.0rm5zr	1	m.0fkppct
m.0sc4fq	0	m.0kpv11
m.0sc4fq	2	m.038wm2
m.0sc4fq	1	m.0ffxdjh
m.0sc4fq	1	m.0f03g45
m.0sc4fq	1	m.01jwy2f
m.0sc4fq	1	m.031lv49
m.0sgbb96	0	m.0kpv11
m.0sgbb96	2	m.0crdtjw
m.0sll2l_	0	m.09jd9nh
m.0sll2l_	2	m.0dymm5v
m.0wtfb7	1	m.039n7ct
m.0wtfb7	2	m.01wwl38
m.0wtfb7	0	m.0kpv11
m.0wtfb7	1	m.0fhsrf9
m.0wtfb7	1	m.038ggm7
m.0wtfb7	1	m.0g2pk1h
m.0wtfb7	1	m.0fly9s7
m.0wv091	3	m.03f40yq
m.0wv091	1	m.0fgv4l9
m.0wv091	1	m.0345tcl
m.0wv091	1	m.0dtqncm
m.0wv091	4	m.04qzm
m.0wv091	0	m.0kpv11
m.0wv091	4	m.01jckl
m.0wv091	1	m.0f7tfdv
m.0wv091	1	m.0fk_vjq
m.0wv091	1	m.0dmy37y
m.0wv091	2	m.04qzm
m.0wv091	1	m.0390mhh
m.0xv90_	1	m.038lsb7
m.0xv90_	0	m.0kpv11
m.0xv90_	2	m.01nf0c
m.0xv90_	1	m.035lmsc
m.0zk35z	1	m.032hlvl
m.0zk35z	2	m.01gtx7
m.0zk35z	1	m.03086xv
m.0zk35z	0	m.0kpv11
m.010bg0v	1	m.033pw0j
m.010bg0v	1	m.01jjnz2
m.010bg0v	0	m.0kpv11
m.010bg0v	2	m.0mmhn
m.0112g8k	1	m.0fyc44m
m.0112g8k	0	m.0kpv11
m.0112g8k	2	m.01v0sxx
m.0112g8k	1	m.01km_93
m.0112g8k	1	m.0332mdk
m.0112g8k	1	m.0f191yf
m.0112g8k	1	m.03425nx
m.0112g8k	1	m.01km_bg
m.0112g8k	1	m.01km_m6
m.0112g8k	1	m.03_v_n8
m.0162q4d	1	m.01jhjch
m.0162q4d	0	m.0kpv11
m.0162q4d	1	m.01jhjdq
m.0162q4d	2	m.09qr6
m.0162q4d	1	m.049k8dk
m.0162q4d	1	m.038pjp3
m.0162q4d	1	m.0d_r2l9
m.0162q4d	1	m.0fbktdj
m.0162q4d	1	m.0d_c8gw
m.0177pcc	1	m.0fw86hw
m.0177pcc	1	m.0f2t6p5
m.0177pcc	0	m.0kpv11
m.0177pcc	1	m.03625fg
m.0177pcc	1	m.01mt8zk
m.0177pcc	2	m.04xc0g
m.0177pcc	1	m.01mt8_j
m.0177pcc	1	m.03fkygg
m.0189t62	1	m.033d7n0
m.0189t62	0	m.0kpv11
m.0189t62	1	m.03448g3
m.0189t62	2	m.06wcs2
m.0189t62	1	m.0fzss1q
m.019t45b	1	m.036kyqc
m.019t45b	1	m.03fjvpx
m.019t45b	1	m.0fwz2sg
m.019t45b	2	m.05jy74
m.019t45b	1	m.0fnf3x7
m.019t45b	1	m.0dvy_zn
m.019t45b	1	m.03ffyx_
m.019t45b	1	m.0f5_vfr
m.019t45b	1	m.0g34cxq
m.019t45b	0	m.09jd9nh
m.01d7rvz	1	m.0fvswq0
m.01d7rvz	3	m.03f25yy
m.01d7rvz	1	m.0fn3l8n
m.01d7rvz	1	m.0dmj3cx
m.01d7rvz	3	m.01wl8mc
m.01d7rvz	2	m.01gtx7
m.01d7rvz	1	m.0f7snzb
m.01d7rvz	3	m.03j16by
m.01d7rvz	1	m.0ckqnr
m.01d7rvz	4	m.01wck3s
m.01d7rvz	0	m.0kpv11
m.01d7rvz	1	m.0fy3042
m.01dcxgc	1	m.01s53tz
m.01dcxgc	4	m.01s543k
m.01dcxgc	1	m.032kjxm
m.01dcxgc	0	m.0kpv11
m.01dcxgc	1	m.03fpp_4
m.01dcxgc	1	m.01s53sy
m.01dcxgc	2	m.01s543k
m.0dwcrpv	0	m.0kpv11
m.0dwcrpv	1	m.0dwcrls
m.0dwcrpv	1	m.0fkpm0s
m.0dwcrpv	1	m.03fpc_w
m.0dwcrpv	1	m.0fj2qvs
m.0dwcrpv	1	m.0g34ctq
m.0dwcrpv	1	m.0dy0s75
m.0dwcrpv	2	m.05q_9w
m.0dwcrpv	4	m.01x2810
m.0dwcrpv	4	m.01ws_vv
m.0dwcrpv	1	m.0f4ym49
m.0dwcrpv	1	m.0fj3cxf
m.0dx1060	2	m.02752c9
m.0dx1060	4	m.02752c9
m.0dx1060	0	m.0kpv11
m.0dx1060	4	m.0108ncg3
m.0dx1060	1	m.03fpc4c
m.0dx1060	3	m.03f2zs5
m.0dx1060	1	m.049ml1n
m.0dy1z7n	2	m.0ntq7
m.0dy1z7n	1	m.0f84j2_
m.0dy1z7n	1	m.0dy1z6z
m.0dy1z7n	4	m.01wck3s
m.0dy1z7n	4	m.0ntq7
m.0dy1z7n	1	m.0flxpsr
m.0dy1z7n	1	m.0ffwhlh
m.0dy1z7n	1	m.0fmk66c
m.0dy1z7n	0	m.0kpv11
m.0dyc0q3	2	m.0276kql
m.0dyc0q3	0	m.09jd9nh
m.0dyc0q3	1	m.0fkp66w
m.0f2705b	2	m.03qmrpl
m.0f2705b	0	m.09jd9nh
m.0f2705b	1	m.0f_1r48
m.0f2705b	1	m.0fwp0xw
m.0f2705b	1	m.0f_1fht
m.0f2705b	1	m.0fsz_ry
m.0f2705b	1	m.0g1687t
m.0f2705b	1	m.03xtv8t
m.0fcwzv6	2	m.01ptpgn
m.0fcwzv6	0	m.0kpv11
m.0fcwzv6	1	m.0fcwzqr
m.0fsknwx	1	m.0fwl8vy
m.0fsknwx	1	m.0g3rld0
m.0fsknwx	0	m.0kpv11
m.0fsknwx	1	m.0g11st6
m.0fsknwx	2	m.01s0689
m.0fwm6hw	1	m.0fzd7b8
m.0fwm6hw	1	m.0fy2ysp
m.0fwm6hw	0	m.0kpv11
m.0fwm6hw	1	m.0g0yhwk
m.0fwm6hw	1	m.0fwm6hg
m.0fwm6hw	1	m.0g0pcsn
m.0fwm6hw	1	m.0fzsbnq
m.0fwm6hw	2	m.01wggxc
m.0fyzvby	2	m.09lwrt
m.0fyzvby	1	m.0fyzvb1
m.0fyzvby	1	m.0g1q6zz
m.0fyzvby	0	m.0kpv11
m.0fyzvby	1	m.0g5ww0z
m.0fyzvby	1	m.0f_1xj2
m.0fyzvby	1	m.0fzs9c3
m.0fyzvby	1	m.0g1l0z4
m.0fyzvby	1	m.0fr36fr
m.0fyzvby	1	m.0ft49sj
m.0fyzvby	1	m.0g29trt
m.0fyzvby	1	m.0fztcp4
m.0fyzvby	1	m.0fv4nyp
m.0l_6fk	4	m.01vz1g4
m.0l_6fk	1	m.0f8vswx
m.0l_6fk	1	m.03fj8bz
m.0l_6fk	1	m.0316d48
m.0l_6fk	3	m.03f64n8
m.0l_6fk	1	m.0fznvfw
m.0l_6fk	0	m.0kpv11
m.0l_6fk	4	m.03f64jh
m.0l_6fk	1	m.01kjpw4
m.0l_6fk	2	m.012yv4
m.0l_6fk	3	m.03f1z4d
m.0l_6fk	1	m.039gchs
m.0l_6fk	3	m.03f64j5
m.0l_6fk	4	m.07__cy
m.0lrmcz	1	m.0f71wdx
m.0lrmcz	1	m.0fd79g_
m.0lrmcz	1	m.0dqgsbk
m.0lrmcz	1	m.0g7ls1x
